userid,movieid,rating,date
239,46658,5,2009/2/20 0:00
239,46191,4.5,2009/2/20 0:00
239,48019,0.5,2009/2/20 0:00
239,49853,4.5,2009/2/20 0:00
239,48233,2,2009/2/20 0:00
239,49419,2.5,2009/2/20 0:00
239,50802,3.5,2009/2/20 0:00
239,52672,4.5,2009/2/20 0:00
239,55390,2.5,2009/2/20 0:00
239,58257,1,2009/2/20 0:00
239,60645,2.5,2009/2/20 0:00
239,62462,4,2009/2/20 0:00
239,64316,4,2009/2/20 0:00
239,61720,5,2009/2/22 0:00
239,65842,3.5,2009/2/20 0:00
239,66184,4.5,2009/2/20 0:00
239,64081,1.5,2009/2/20 0:00
239,64616,4.5,2009/2/20 0:00
288,77,4,2007/6/30 0:00
288,348,3.5,2007/4/23 0:00
288,81,4,2007/7/3 0:00
288,101,4,2008/2/26 0:00
288,109,5,2007/6/30 0:00
288,464,4,2008/6/13 0:00
288,465,5,2008/6/13 0:00
288,496,5,2008/6/13 0:00
288,926,3.5,2007/7/3 0:00
288,1050,3.5,2007/7/3 0:00
288,1802,4,2007/7/3 0:00
288,2350,4,2007/7/3 0:00
288,2397,3.5,2007/4/23 0:00
288,2645,3,2007/5/22 0:00
288,2681,3.5,2007/4/23 0:00
288,2237,2.5,2008/6/13 0:00
288,2784,4,2007/7/3 0:00
288,2531,4,2007/7/3 0:00
288,2533,5,2008/6/13 0:00
288,2957,4,2007/7/3 0:00
288,2958,3.5,2008/6/13 0:00
288,3051,2,2007/4/23 0:00
288,3065,4.5,2008/6/13 0:00
288,3391,3,2008/6/13 0:00
288,3522,3.5,2007/4/23 0:00
288,3447,4,2007/6/30 0:00
288,3449,3.5,2007/8/12 0:00
288,3685,3,2007/8/12 0:00
288,3871,3.5,2007/4/23 0:00
288,3953,3.5,2007/4/23 0:00
288,4249,4,2007/7/3 0:00
288,4143,3,2008/6/13 0:00
288,4174,2,2007/4/23 0:00
288,4175,3.5,2007/7/3 0:00
288,4493,4,2007/4/23 0:00
288,4823,3.5,2007/7/3 0:00
288,4824,3.5,2007/7/3 0:00
288,4726,4,2007/4/23 0:00
288,4917,3.5,2007/7/3 0:00
288,5062,4,2007/7/12 0:00
288,5124,4,2007/4/23 0:00
288,5125,5,2008/6/13 0:00
288,5000,3.5,2007/5/22 0:00
288,5366,4,2008/6/13 0:00
288,5277,4,2007/7/3 0:00
288,5504,5,2008/6/13 0:00
288,5753,3,2007/7/12 0:00
288,5801,3,2007/7/3 0:00
288,5592,3.5,2007/7/3 0:00
288,5808,3.5,2007/7/3 0:00
288,5809,3.5,2007/4/23 0:00
288,6046,4,2008/6/13 0:00
288,6052,4,2007/7/12 0:00
288,5719,4,2008/6/13 0:00
288,6064,3.5,2007/6/30 0:00
288,6074,4.5,2008/6/13 0:00
288,5886,3.5,2007/4/23 0:00
288,5889,3,2007/7/12 0:00
288,5894,4,2007/7/3 0:00
288,6607,3.5,2007/4/23 0:00
288,6616,3.5,2007/6/30 0:00
288,6632,3,2007/4/23 0:00
288,6466,4,2007/6/30 0:00
288,6467,4,2007/5/22 0:00
288,7003,3.5,2007/7/3 0:00
288,7004,4,2007/7/3 0:00
288,7006,3.5,2007/7/3 0:00
288,7515,4,2007/8/12 0:00
288,7657,1,2007/8/12 0:00
288,7950,3.5,2007/8/12 0:00
288,8535,3.5,2007/7/3 0:00
288,8545,4.5,2007/6/30 0:00
288,8029,3,2007/7/3 0:00
288,8039,3.5,2007/4/23 0:00
288,8567,3.5,2007/4/23 0:00
288,8749,4.5,2008/6/13 0:00
288,9134,3,2008/6/13 0:00
288,9150,4.5,2008/6/13 0:00
288,9180,3.5,2007/7/3 0:00
288,9218,3.5,2007/6/30 0:00
288,9229,3.5,2007/4/23 0:00
288,9233,5,2008/6/13 0:00
288,9250,2.5,2007/6/30 0:00
288,9262,4.5,2008/9/2 0:00
288,9264,5,2008/6/13 0:00
288,9900,3.5,2007/8/12 0:00
288,10335,3.5,2007/7/3 0:00
288,9711,4,2007/4/23 0:00
288,9717,5,2008/6/13 0:00
288,10376,3.5,2007/4/23 0:00
288,10377,3.5,2007/4/23 0:00
288,9951,4,2007/4/23 0:00
288,9952,3.5,2007/4/23 0:00
288,10746,4,2007/8/12 0:00
288,10230,4.5,2008/6/13 0:00
288,10566,5,2008/6/13 0:00
288,10571,4,2008/9/4 0:00
288,10935,3.5,2007/4/23 0:00
288,11092,3.5,2007/4/23 0:00
288,11135,4,2007/4/23 0:00
288,12484,4,2007/6/30 0:00
288,11468,3.5,2008/6/13 0:00
288,11685,3,2007/7/3 0:00
288,13096,4,2007/7/3 0:00
288,12032,4.5,2008/6/13 0:00
288,13704,5,2008/6/13 0:00
288,12668,4.5,2008/6/13 0:00
288,12962,4.5,2008/6/13 0:00
288,13153,4,2007/5/22 0:00
288,13493,3.5,2007/7/3 0:00
288,13592,3,2007/7/12 0:00
288,15162,2,2007/7/3 0:00
288,15503,4.5,2008/6/13 0:00
288,15535,3,2007/4/23 0:00
288,14057,4,2007/7/3 0:00
288,14813,3.5,2007/6/30 0:00
288,14814,4,2007/6/30 0:00
288,16531,4,2008/6/13 0:00
288,16532,4.5,2007/6/30 0:00
288,14897,4,2007/6/30 0:00
288,14898,4.5,2008/6/13 0:00
288,16752,4.5,2007/5/22 0:00
288,14975,4.5,2008/6/13 0:00
288,16797,4,2007/7/3 0:00
288,16981,3,2007/7/12 0:00
288,16984,3,2007/7/3 0:00
288,17015,4,2007/4/23 0:00
288,15270,4,2007/7/13 0:00
288,15273,4,2007/4/23 0:00
288,17474,5,2008/7/24 0:00
288,17496,4,2007/4/23 0:00
288,15931,3.5,2007/7/13 0:00
288,15944,4,2007/6/30 0:00
288,15959,3.5,2007/7/3 0:00
288,18759,4,2008/6/13 0:00
288,19224,4,2007/4/23 0:00
288,16930,3.5,2007/7/3 0:00
288,19843,4,2008/6/13 0:00
288,17247,3.5,2007/4/23 0:00
288,17330,4,2007/7/3 0:00
288,20444,3.5,2007/4/23 0:00
288,20445,4,2007/7/3 0:00
288,17363,4,2007/7/3 0:00
288,20505,4,2008/6/13 0:00
288,17656,3.5,2007/7/3 0:00
288,20800,4,2007/7/3 0:00
288,20802,4.5,2008/6/13 0:00
288,17971,4,2007/6/30 0:00
288,21317,3.5,2007/7/3 0:00
288,18100,5,2008/6/13 0:00
288,18103,4,2007/6/30 0:00
288,18112,1.5,2007/4/23 0:00
288,18121,4.5,2007/4/23 0:00
288,21360,4,2008/6/13 0:00
288,18151,4,2007/7/12 0:00
288,21447,4,2008/6/13 0:00
288,18284,4,2007/7/3 0:00
288,21846,3.5,2008/6/13 0:00
288,18410,3.5,2007/7/12 0:00
288,22197,4,2007/4/23 0:00
288,22203,4,2008/6/13 0:00
288,22297,4,2007/4/23 0:00
288,18832,3,2008/6/13 0:00
288,22375,2.5,2007/4/23 0:00
288,22392,4.5,2007/4/23 0:00
288,22401,3,2007/4/23 0:00
288,19349,4,2007/6/30 0:00
288,22944,3.5,2008/6/13 0:00
288,23128,4,2007/6/30 0:00
288,19726,4,2007/4/23 0:00
288,23189,3,2007/8/12 0:00
288,19930,3.5,2007/8/12 0:00
288,19961,3.5,2007/7/3 0:00
288,20315,3.5,2007/7/12 0:00
288,23970,4,2007/7/12 0:00
288,20317,3.5,2007/7/13 0:00
288,20398,3,2008/6/13 0:00
288,20409,4.5,2007/4/23 0:00
288,20411,4,2007/7/3 0:00
288,24251,4,2008/6/13 0:00
288,20642,3,2008/6/13 0:00
288,20644,4,2007/7/3 0:00
288,20645,3.5,2007/7/3 0:00
288,24297,5,2008/6/13 0:00
288,24675,4,2007/4/23 0:00
288,21143,4,2008/7/16 0:00
288,24742,2.5,2008/6/13 0:00
288,21201,4,2007/7/3 0:00
288,24941,3,2007/7/3 0:00
288,21576,3,2007/7/3 0:00
288,21577,0.5,2008/6/13 0:00
288,21716,4,2007/7/3 0:00
288,21735,4.5,2008/6/13 0:00
288,25422,3.5,2007/7/3 0:00
288,25423,3.5,2007/7/3 0:00
288,25424,4,2007/4/23 0:00
288,25450,3,2007/8/12 0:00
288,25464,4,2008/6/13 0:00
288,21983,4,2007/6/30 0:00
288,25466,4.5,2008/6/13 0:00
288,25490,4,2007/4/23 0:00
288,22013,3.5,2007/4/23 0:00
288,22025,3.5,2007/7/12 0:00
288,22059,4.5,2008/4/28 0:00
288,25540,3,2007/7/12 0:00
288,25746,4,2007/6/30 0:00
288,25777,5,2008/6/13 0:00
288,22471,4.5,2008/6/13 0:00
288,22477,4,2007/7/3 0:00
288,26324,5,2008/6/13 0:00
288,22802,4,2007/7/3 0:00
288,26575,4,2007/4/23 0:00
288,26614,3,2007/7/12 0:00
288,26642,4,2007/7/3 0:00
288,26656,4,2007/4/23 0:00
288,26791,4,2007/4/23 0:00
288,23059,4,2008/6/13 0:00
288,23411,3.5,2007/7/3 0:00
288,27122,4,2007/4/23 0:00
288,27216,4,2007/7/3 0:00
288,24079,5,2008/6/9 0:00
288,27283,5,2008/6/9 0:00
288,24080,5,2008/6/13 0:00
288,24081,5,2008/5/19 0:00
288,24082,5,2008/6/9 0:00
288,27528,3.5,2007/4/23 0:00
288,24811,4,2008/6/13 0:00
288,24871,4,2007/7/3 0:00
288,25284,4,2008/6/13 0:00
288,25318,4,2007/7/12 0:00
288,28059,4,2007/7/3 0:00
288,28315,3.5,2007/4/23 0:00
288,25648,3.5,2008/2/16 0:00
288,25803,4,2007/4/23 0:00
288,28359,4,2007/6/30 0:00
288,25820,3.5,2007/4/23 0:00
288,25823,3.5,2007/7/3 0:00
288,25864,3.5,2007/7/12 0:00
288,26040,5,2008/6/13 0:00
288,28765,5,2008/6/13 0:00
288,29692,3,2007/7/13 0:00
288,29020,5,2007/8/12 0:00
288,30936,4,2007/7/3 0:00
288,31023,4,2007/6/30 0:00
288,31024,4,2007/7/3 0:00
288,29330,4,2007/6/30 0:00
288,29948,4,2007/7/3 0:00
288,29949,3.5,2007/7/3 0:00
288,29993,4,2007/4/23 0:00
288,31964,4,2008/6/13 0:00
288,32439,3.5,2007/7/3 0:00
288,30343,2.5,2008/6/13 0:00
288,32687,4,2007/4/23 0:00
288,32688,4.5,2008/6/13 0:00
288,33047,3.5,2007/7/3 0:00
288,33547,3.5,2007/7/13 0:00
288,31831,4,2007/6/30 0:00
288,34422,3.5,2007/6/30 0:00
288,32055,5,2008/6/13 0:00
288,35003,4,2007/4/23 0:00
288,32594,4.5,2007/7/3 0:00
288,35264,4,2007/6/30 0:00
288,35507,4,2007/7/3 0:00
288,32916,4,2007/4/23 0:00
288,32961,3.5,2007/7/3 0:00
288,35707,4,2007/7/3 0:00
288,32983,3.5,2007/4/23 0:00
288,36035,4,2007/6/30 0:00
288,36096,4,2007/7/3 0:00
288,33709,4,2007/6/30 0:00
288,33734,3,2007/4/23 0:00
288,36133,2,2007/4/23 0:00
288,36185,3,2008/6/13 0:00
288,34047,4.5,2008/6/13 0:00
288,34057,3.5,2007/7/3 0:00
288,34061,4,2007/7/3 0:00
288,36702,3.5,2007/7/12 0:00
288,34341,4,2008/6/13 0:00
288,36753,3,2007/7/3 0:00
288,34507,5,2008/6/13 0:00
288,36803,3.5,2007/7/3 0:00
288,34573,4,2007/4/23 0:00
288,34574,4,2008/6/13 0:00
288,34609,3.5,2007/7/12 0:00
288,37357,3.5,2007/7/3 0:00
288,37592,4,2007/7/3 0:00
288,37674,3.5,2007/7/3 0:00
288,35370,4,2007/7/3 0:00
288,35379,4,2007/6/30 0:00
288,38195,3.5,2007/6/30 0:00
288,38224,5,2008/6/13 0:00
288,35646,4.5,2008/6/13 0:00
288,38508,3.5,2007/7/13 0:00
288,36449,4,2007/5/22 0:00
288,36562,5,2008/6/13 0:00
288,36866,4,2007/6/30 0:00
288,39765,3,2007/7/12 0:00
288,39771,5,2008/6/13 0:00
288,40186,3,2008/6/13 0:00
288,40402,3.5,2007/7/3 0:00
288,38105,4,2007/7/3 0:00
288,40943,4.5,2008/6/13 0:00
288,39097,4,2007/8/12 0:00
288,42220,4,2007/8/12 0:00
288,39384,5,2008/3/16 0:00
288,42237,5,2007/4/23 0:00
288,42626,4,2007/7/3 0:00
288,42627,3,2007/7/12 0:00
288,42658,4,2008/6/13 0:00
288,39627,3.5,2008/6/13 0:00
288,42739,4.5,2008/6/13 0:00
288,39863,3.5,2007/7/3 0:00
288,39905,4,2007/7/12 0:00
288,39956,4,2008/6/13 0:00
288,40705,4,2008/6/13 0:00
288,40769,4,2007/6/30 0:00
288,40771,3,2008/6/13 0:00
288,44216,4.5,2007/7/3 0:00
288,44232,4,2008/6/13 0:00
288,44462,3.5,2007/7/3 0:00
288,44583,3,2007/4/23 0:00
288,41609,3,2008/6/13 0:00
288,44817,4.5,2008/6/13 0:00
288,45476,4,2008/4/22 0:00
288,45997,4,2008/6/13 0:00
288,42491,4,2008/6/13 0:00
288,42492,3,2007/7/12 0:00
288,46018,3.5,2007/4/23 0:00
288,46207,5,2008/6/13 0:00
288,42533,4,2007/7/3 0:00
288,46209,4.5,2008/6/13 0:00
288,46289,3,2007/7/12 0:00
288,46615,3.5,2007/6/30 0:00
288,43316,4,2008/6/13 0:00
288,46617,3.5,2008/2/26 0:00
288,43317,4,2008/2/26 0:00
288,46700,4,2008/6/13 0:00
288,46701,4,2007/7/3 0:00
288,43675,4.5,2008/6/13 0:00
288,46825,3.5,2007/4/23 0:00
288,46857,4.5,2008/6/13 0:00
288,46885,4.5,2008/6/13 0:00
288,44423,3.5,2007/4/23 0:00
288,44439,3.5,2007/7/3 0:00
288,47207,4,2007/5/22 0:00
288,47246,4,2007/7/3 0:00
288,45119,4,2007/7/3 0:00
288,45122,3.5,2008/6/13 0:00
288,47408,4.5,2007/5/22 0:00
288,45147,3,2008/4/28 0:00
288,47483,2,2007/7/3 0:00
288,47562,3,2007/7/12 0:00
288,45309,3.5,2007/7/3 0:00
288,47617,3.5,2007/4/23 0:00
288,47646,4,2007/8/12 0:00
288,45566,4,2007/6/30 0:00
288,45576,3.5,2007/6/30 0:00
288,45787,3.5,2007/7/3 0:00
288,45810,3,2007/7/13 0:00
288,47861,4,2008/6/13 0:00
288,45814,4.5,2008/6/13 0:00
288,47958,3.5,2007/7/3 0:00
288,49220,5,2007/7/3 0:00
288,49294,4,2007/6/30 0:00
288,48058,4,2007/8/12 0:00
288,48126,3.5,2007/7/3 0:00
288,49852,4,2007/7/3 0:00
288,48229,4,2007/7/3 0:00
288,49853,4,2007/4/23 0:00
288,48232,4,2007/4/23 0:00
288,48233,4,2007/6/30 0:00
288,49883,3,2007/6/30 0:00
288,49955,4.5,2008/6/9 0:00
288,49999,4.5,2008/6/13 0:00
288,48476,4,2007/7/3 0:00
288,48573,4,2007/7/3 0:00
288,50186,4,2008/6/13 0:00
288,50407,4,2008/6/13 0:00
288,50964,5,2008/5/6 0:00
288,48877,3.5,2007/7/3 0:00
288,51243,3.5,2007/4/23 0:00
288,51775,3,2007/7/12 0:00
288,50556,3.5,2007/8/12 0:00
288,50585,5,2008/6/13 0:00
288,51915,4.5,2008/6/13 0:00
288,51935,3.5,2007/7/12 0:00
288,50700,4,2007/7/3 0:00
288,52874,3.5,2007/4/23 0:00
288,50934,2,2007/7/12 0:00
288,51360,5,2008/6/13 0:00
288,51427,4,2008/6/13 0:00
288,51434,4,2007/8/12 0:00
288,53309,3.5,2008/6/13 0:00
288,51478,3.5,2007/4/23 0:00
288,53645,3,2008/6/13 0:00
288,52230,3.5,2008/6/13 0:00
288,53927,4.5,2008/6/13 0:00
288,53981,3,2007/4/23 0:00
288,54140,4,2007/7/13 0:00
288,52428,4,2007/7/3 0:00
288,54663,3.5,2007/7/3 0:00
288,54712,3,2007/5/22 0:00
288,52616,4,2007/7/3 0:00
288,54718,4.5,2008/6/13 0:00
288,52672,3.5,2007/4/23 0:00
288,54931,3.5,2007/4/23 0:00
288,55025,4,2008/6/13 0:00
288,52794,4,2007/6/30 0:00
288,52795,4,2008/6/13 0:00
288,52826,5,2008/6/13 0:00
288,53109,3.5,2007/6/30 0:00
288,55531,4,2008/6/13 0:00
288,53198,3,2007/7/3 0:00
288,55624,3.5,2008/6/13 0:00
288,55818,3,2008/6/13 0:00
288,55828,4,2007/7/3 0:00
288,53756,2,2007/4/23 0:00
288,55920,3.5,2007/7/3 0:00
288,55946,4,2008/6/13 0:00
288,55995,4.5,2008/6/13 0:00
288,54053,4,2007/7/3 0:00
288,56046,3.5,2008/6/13 0:00
288,54280,4,2007/6/30 0:00
288,56131,3.5,2007/7/3 0:00
288,56256,3,2007/8/12 0:00
288,54563,3.5,2007/7/3 0:00
288,54612,4,2007/7/3 0:00
288,56839,5,2008/6/13 0:00
288,54613,4,2007/7/3 0:00
288,54752,4,2007/7/3 0:00
288,56853,3.5,2008/6/13 0:00
288,54757,3.5,2007/8/12 0:00
288,54776,4,2008/6/13 0:00
288,56915,4.5,2007/5/22 0:00
288,56916,4,2007/7/3 0:00
288,54834,4,2007/7/3 0:00
288,58104,4.5,2007/4/23 0:00
288,58106,4,2007/7/3 0:00
288,55421,4,2007/6/30 0:00
288,58206,5,2008/6/13 0:00
288,55633,3.5,2007/7/3 0:00
288,58257,3.5,2007/7/3 0:00
288,55640,4,2008/6/13 0:00
288,55641,3.5,2008/6/13 0:00
288,55682,4,2008/6/13 0:00
288,58332,4,2007/4/23 0:00
288,55749,5,2008/9/1 0:00
288,56292,4,2007/7/3 0:00
288,56355,4,2007/7/3 0:00
288,56370,4,2008/11/16 0:00
288,56391,3.5,2007/7/3 0:00
288,58556,3,2007/8/12 0:00
288,56475,3.5,2007/4/23 0:00
288,56502,4,2007/7/13 0:00
288,56503,4.5,2008/6/13 0:00
288,56535,4,2007/7/3 0:00
288,58804,3.5,2007/7/3 0:00
288,56560,4,2007/4/23 0:00
288,56615,5,2007/4/23 0:00
288,59803,3.5,2008/6/13 0:00
288,56738,3.5,2008/6/13 0:00
288,59893,3.5,2007/7/3 0:00
288,59914,4,2008/6/13 0:00
288,59957,4.5,2008/6/13 0:00
288,59994,3.5,2007/8/12 0:00
288,57083,3.5,2007/4/23 0:00
288,60000,4,2008/6/13 0:00
288,57084,4.5,2008/6/13 0:00
288,60017,4,2007/6/30 0:00
288,60078,3,2008/6/13 0:00
288,57215,3.5,2008/6/13 0:00
288,57227,3.5,2007/4/23 0:00
288,60158,4,2007/7/3 0:00
288,57262,3.5,2008/6/13 0:00
288,57277,4,2007/8/12 0:00
288,57281,4,2007/6/30 0:00
288,60244,4,2007/7/3 0:00
288,57354,4,2007/7/12 0:00
288,60447,4,2007/7/3 0:00
288,57544,4,2007/7/3 0:00
288,60584,4,2007/7/3 0:00
288,60596,3.5,2008/6/13 0:00
288,60700,2.5,2007/4/23 0:00
288,57847,3,2007/4/23 0:00
288,60779,3.5,2007/7/3 0:00
288,60780,3.5,2007/7/3 0:00
288,57915,3,2008/6/13 0:00
288,60864,4,2008/4/19 0:00
288,58887,4,2008/6/13 0:00
288,59085,4,2007/8/12 0:00
288,59250,3.5,2007/7/12 0:00
288,62460,4,2007/6/30 0:00
288,62462,3.5,2007/7/3 0:00
288,59471,5,2008/6/13 0:00
288,62536,3.5,2007/4/23 0:00
288,63700,3.5,2007/7/3 0:00
288,61227,4.5,2008/6/13 0:00
288,64306,5,2008/6/13 0:00
288,64422,4,2008/6/13 0:00
288,64444,4,2007/5/22 0:00
288,61720,3,2007/4/23 0:00
288,64804,3.5,2007/4/23 0:00
288,62593,3,2007/6/30 0:00
288,62717,3.5,2007/5/22 0:00
288,62751,5,2008/6/13 0:00
288,62861,3.5,2007/7/3 0:00
288,65544,3.5,2007/4/23 0:00
288,63210,4,2007/4/23 0:00
288,65812,3.5,2007/7/3 0:00
288,65842,4,2007/6/30 0:00
288,65978,4.5,2008/4/28 0:00
288,64077,4,2007/4/23 0:00
288,64081,4,2007/7/3 0:00
288,64256,4,2008/6/13 0:00
288,64579,2.5,2007/8/12 0:00
288,66499,4.5,2008/6/13 0:00
288,64721,3.5,2007/8/12 0:00
288,66612,3.5,2007/4/23 0:00
288,66613,3,2008/6/13 0:00
6198,29730,4.5,2009/3/1 0:00
6198,56915,4.5,2008/12/11 0:00
6198,56916,5,2008/12/11 0:00
240,3301,3.5,2009/2/1 0:00
240,5806,3.5,2009/2/1 0:00
240,31421,4.5,2009/2/1 0:00
240,40282,4.5,2009/2/1 0:00
240,52880,4,2009/2/1 0:00
240,59471,5,2009/2/1 0:00
901,20279,4.5,2009/4/23 0:00
901,54336,5,2009/3/3 0:00
901,62530,5,2009/3/3 0:00
5533,3317,5,2009/4/6 0:00
5533,5806,3.5,2009/4/6 0:00
5533,5809,2,2009/4/6 0:00
5533,12505,0.5,2009/5/1 0:00
5533,14392,1.5,2009/2/15 0:00
5533,16713,0.5,2009/5/1 0:00
5533,19610,3.5,2009/9/22 0:00
5533,19787,5,2009/3/5 0:00
5533,16969,2.5,2009/5/1 0:00
5533,24251,5,2009/3/5 0:00
5533,20642,2,2009/4/6 0:00
5533,22013,5,2009/4/6 0:00
5533,26642,3.5,2009/4/6 0:00
5533,26656,3,2009/4/6 0:00
5533,32983,4.5,2009/4/6 0:00
5533,34060,2.5,2009/5/1 0:00
5533,37331,3.5,2009/5/1 0:00
5533,41174,2,2009/9/22 0:00
5533,41680,5,2009/4/6 0:00
5533,43585,3,2009/4/6 0:00
5533,45119,0.5,2009/4/6 0:00
5533,47784,4.5,2009/4/6 0:00
5533,49853,5,2009/4/6 0:00
5533,48232,5,2009/3/5 0:00
5533,50415,3.5,2009/9/22 0:00
5533,53981,5,2009/3/5 0:00
5533,58104,4.5,2009/4/6 0:00
5533,59471,3.5,2009/4/6 0:00
5533,62530,5,2009/2/26 0:00
5533,59613,4,2009/4/6 0:00
5533,66184,5,2009/4/6 0:00
5533,64077,5,2009/4/6 0:00
5533,66208,2.5,2009/5/1 0:00
904,17422,1,2009/1/16 0:00
904,26405,2.5,2009/1/16 0:00
904,43529,1,2009/1/16 0:00
904,60645,1,2009/1/16 0:00
241,65325,3,2009/3/18 0:00
5924,25422,3,2009/4/22 0:00
5924,27008,4,2009/4/22 0:00
5924,37988,4,2009/4/22 0:00
5924,40372,3.5,2009/4/22 0:00
762,47784,4,2009/4/2 0:00
762,62530,1,2009/4/2 0:00
762,65325,5,2009/3/18 0:00
1206,2460,4.5,2009/3/14 0:00
1206,20917,5,2009/3/14 0:00
1206,47784,5,2009/3/14 0:00
1206,55828,5,2009/3/14 0:00
1206,56916,5,2009/3/14 0:00
1206,65325,5,2009/3/14 0:00
6085,7877,5,2009/3/31 0:00
6085,26791,5,2009/3/31 0:00
6085,32983,5,2009/3/31 0:00
6085,34060,5,2009/3/31 0:00
6085,62537,5,2009/3/31 0:00
6085,63684,5,2009/3/31 0:00
6085,65325,5,2009/3/31 0:00
9259,43588,3,2008/10/6 0:00
9259,54715,3.5,2008/10/6 0:00
6070,2194,2,2009/8/14 0:00
6070,14070,1,2009/8/15 0:00
6070,20641,3,2009/8/14 0:00
6070,27152,3,2009/8/15 0:00
6070,52705,2.5,2009/8/15 0:00
6070,60512,3,2009/8/15 0:00
568,43529,5,2008/12/29 0:00
568,62530,4.5,2009/6/24 0:00
8831,33488,1.5,2009/3/3 0:00
8831,62530,2,2009/6/27 0:00
4717,17293,5,2009/4/29 0:00
4717,46203,5,2009/4/29 0:00
4717,43004,5,2009/4/29 0:00
4717,46431,5,2009/4/29 0:00
4717,65325,5,2009/4/29 0:00
1980,62530,5,2009/6/9 0:00
6887,20380,3,2009/4/15 0:00
6887,26405,5,2009/3/1 0:00
6887,54336,3.5,2009/3/1 0:00
6887,62530,4,2009/3/1 0:00
6916,47429,4,2009/8/13 0:00
6983,47429,5,2009/9/4 0:00
6983,55952,4.5,2009/9/4 0:00
